WIN	UNI	MS932(1)	MS932(2)	CP943(1)	CP943(2)	Win31J(1)	Win31J(2)	COMMENT
00	0000	true	true	true	true	true	true	#NULL
01	0001	true	true	true	true	true	true	#START OF HEADING
02	0002	true	true	true	true	true	true	#START OF TEXT
03	0003	true	true	true	true	true	true	#END OF TEXT
04	0004	true	true	true	true	true	true	#END OF TRANSMISSION
05	0005	true	true	true	true	true	true	#ENQUIRY
06	0006	true	true	true	true	true	true	#ACKNOWLEDGE
07	0007	true	true	true	true	true	true	#BELL
08	0008	true	true	true	true	true	true	#BACKSPACE
09	0009	true	true	true	true	true	true	#HORIZONTAL TABULATION
0A	000A	true	true	true	true	true	true	#LINE FEED
0B	000B	true	true	true	true	true	true	#VERTICAL TABULATION
0C	000C	true	true	true	true	true	true	#FORM FEED
0D	000D	true	true	true	true	true	true	#CARRIAGE RETURN
0E	000E	true	true	true	true	true	true	#SHIFT OUT
0F	000F	true	true	true	true	true	true	#SHIFT IN
10	0010	true	true	true	true	true	true	#DATA LINK ESCAPE
11	0011	true	true	true	true	true	true	#DEVICE CONTROL ONE
12	0012	true	true	true	true	true	true	#DEVICE CONTROL TWO
13	0013	true	true	true	true	true	true	#DEVICE CONTROL THREE
14	0014	true	true	true	true	true	true	#DEVICE CONTROL FOUR
15	0015	true	true	true	true	true	true	#NEGATIVE ACKNOWLEDGE
16	0016	true	true	true	true	true	true	#SYNCHRONOUS IDLE
17	0017	true	true	true	true	true	true	#END OF TRANSMISSION BLOCK
18	0018	true	true	true	true	true	true	#CANCEL
19	0019	true	true	true	true	true	true	#END OF MEDIUM
1A	001A	true	true	true	true	true	true	#SUBSTITUTE
1B	001B	true	true	true	true	true	true	#ESCAPE
1C	001C	true	true	true	true	true	true	#FILE SEPARATOR
1D	001D	true	true	true	true	true	true	#GROUP SEPARATOR
1E	001E	true	true	true	true	true	true	#RECORD SEPARATOR
1F	001F	true	true	true	true	true	true	#UNIT SEPARATOR
20	0020	true	true	true	true	true	true	#SPACE
21	0021	true	true	true	true	true	true	#EXCLAMATION MARK
22	0022	true	true	true	true	true	true	#QUOTATION MARK
23	0023	true	true	true	true	true	true	#NUMBER SIGN
24	0024	true	true	true	true	true	true	#DOLLAR SIGN
25	0025	true	true	true	true	true	true	#PERCENT SIGN
26	0026	true	true	true	true	true	true	#AMPERSAND
27	0027	true	true	true	true	true	true	#APOSTROPHE
28	0028	true	true	true	true	true	true	#LEFT PARENTHESIS
29	0029	true	true	true	true	true	true	#RIGHT PARENTHESIS
2A	002A	true	true	true	true	true	true	#ASTERISK
2B	002B	true	true	true	true	true	true	#PLUS SIGN
2C	002C	true	true	true	true	true	true	#COMMA
2D	002D	true	true	true	true	true	true	#HYPHEN-MINUS
2E	002E	true	true	true	true	true	true	#FULL STOP
2F	002F	true	true	true	true	true	true	#SOLIDUS
30	0030	true	true	true	true	true	true	#DIGIT ZERO
31	0031	true	true	true	true	true	true	#DIGIT ONE
32	0032	true	true	true	true	true	true	#DIGIT TWO
33	0033	true	true	true	true	true	true	#DIGIT THREE
34	0034	true	true	true	true	true	true	#DIGIT FOUR
35	0035	true	true	true	true	true	true	#DIGIT FIVE
36	0036	true	true	true	true	true	true	#DIGIT SIX
37	0037	true	true	true	true	true	true	#DIGIT SEVEN
38	0038	true	true	true	true	true	true	#DIGIT EIGHT
39	0039	true	true	true	true	true	true	#DIGIT NINE
3A	003A	true	true	true	true	true	true	#COLON
3B	003B	true	true	true	true	true	true	#SEMICOLON
3C	003C	true	true	true	true	true	true	#LESS-THAN SIGN
3D	003D	true	true	true	true	true	true	#EQUALS SIGN
3E	003E	true	true	true	true	true	true	#GREATER-THAN SIGN
3F	003F	true	true	true	true	true	true	#QUESTION MARK
40	0040	true	true	true	true	true	true	#COMMERCIAL AT
41	0041	true	true	true	true	true	true	#LATIN CAPITAL LETTER A
42	0042	true	true	true	true	true	true	#LATIN CAPITAL LETTER B
43	0043	true	true	true	true	true	true	#LATIN CAPITAL LETTER C
44	0044	true	true	true	true	true	true	#LATIN CAPITAL LETTER D
45	0045	true	true	true	true	true	true	#LATIN CAPITAL LETTER E
46	0046	true	true	true	true	true	true	#LATIN CAPITAL LETTER F
47	0047	true	true	true	true	true	true	#LATIN CAPITAL LETTER G
48	0048	true	true	true	true	true	true	#LATIN CAPITAL LETTER H
49	0049	true	true	true	true	true	true	#LATIN CAPITAL LETTER I
4A	004A	true	true	true	true	true	true	#LATIN CAPITAL LETTER J
4B	004B	true	true	true	true	true	true	#LATIN CAPITAL LETTER K
4C	004C	true	true	true	true	true	true	#LATIN CAPITAL LETTER L
4D	004D	true	true	true	true	true	true	#LATIN CAPITAL LETTER M
4E	004E	true	true	true	true	true	true	#LATIN CAPITAL LETTER N
4F	004F	true	true	true	true	true	true	#LATIN CAPITAL LETTER O
50	0050	true	true	true	true	true	true	#LATIN CAPITAL LETTER P
51	0051	true	true	true	true	true	true	#LATIN CAPITAL LETTER Q
52	0052	true	true	true	true	true	true	#LATIN CAPITAL LETTER R
53	0053	true	true	true	true	true	true	#LATIN CAPITAL LETTER S
54	0054	true	true	true	true	true	true	#LATIN CAPITAL LETTER T
55	0055	true	true	true	true	true	true	#LATIN CAPITAL LETTER U
56	0056	true	true	true	true	true	true	#LATIN CAPITAL LETTER V
57	0057	true	true	true	true	true	true	#LATIN CAPITAL LETTER W
58	0058	true	true	true	true	true	true	#LATIN CAPITAL LETTER X
59	0059	true	true	true	true	true	true	#LATIN CAPITAL LETTER Y
5A	005A	true	true	true	true	true	true	#LATIN CAPITAL LETTER Z
5B	005B	true	true	true	true	true	true	#LEFT SQUARE BRACKET
5C	005C	true	true	true	true	true	true	#REVERSE SOLIDUS
5D	005D	true	true	true	true	true	true	#RIGHT SQUARE BRACKET
5E	005E	true	true	true	true	true	true	#CIRCUMFLEX ACCENT
5F	005F	true	true	true	true	true	true	#LOW LINE
60	0060	true	true	true	true	true	true	#GRAVE ACCENT
61	0061	true	true	true	true	true	true	#LATIN SMALL LETTER A
62	0062	true	true	true	true	true	true	#LATIN SMALL LETTER B
63	0063	true	true	true	true	true	true	#LATIN SMALL LETTER C
64	0064	true	true	true	true	true	true	#LATIN SMALL LETTER D
65	0065	true	true	true	true	true	true	#LATIN SMALL LETTER E
66	0066	true	true	true	true	true	true	#LATIN SMALL LETTER F
67	0067	true	true	true	true	true	true	#LATIN SMALL LETTER G
68	0068	true	true	true	true	true	true	#LATIN SMALL LETTER H
69	0069	true	true	true	true	true	true	#LATIN SMALL LETTER I
6A	006A	true	true	true	true	true	true	#LATIN SMALL LETTER J
6B	006B	true	true	true	true	true	true	#LATIN SMALL LETTER K
6C	006C	true	true	true	true	true	true	#LATIN SMALL LETTER L
6D	006D	true	true	true	true	true	true	#LATIN SMALL LETTER M
6E	006E	true	true	true	true	true	true	#LATIN SMALL LETTER N
6F	006F	true	true	true	true	true	true	#LATIN SMALL LETTER O
70	0070	true	true	true	true	true	true	#LATIN SMALL LETTER P
71	0071	true	true	true	true	true	true	#LATIN SMALL LETTER Q
72	0072	true	true	true	true	true	true	#LATIN SMALL LETTER R
73	0073	true	true	true	true	true	true	#LATIN SMALL LETTER S
74	0074	true	true	true	true	true	true	#LATIN SMALL LETTER T
75	0075	true	true	true	true	true	true	#LATIN SMALL LETTER U
76	0076	true	true	true	true	true	true	#LATIN SMALL LETTER V
77	0077	true	true	true	true	true	true	#LATIN SMALL LETTER W
78	0078	true	true	true	true	true	true	#LATIN SMALL LETTER X
79	0079	true	true	true	true	true	true	#LATIN SMALL LETTER Y
7A	007A	true	true	true	true	true	true	#LATIN SMALL LETTER Z
7B	007B	true	true	true	true	true	true	#LEFT CURLY BRACKET
7C	007C	true	true	true	true	true	true	#VERTICAL LINE
7D	007D	true	true	true	true	true	true	#RIGHT CURLY BRACKET
7E	007E	true	true	true	true	true	true	#TILDE
7F	007F	true	true	true	true	true	true	#DELETE
A1	FF61	true	true	true	true	true	true	#HALFWIDTH IDEOGRAPHIC FULL STOP
A2	FF62	true	true	true	true	true	true	#HALFWIDTH LEFT CORNER BRACKET
A3	FF63	true	true	true	true	true	true	#HALFWIDTH RIGHT CORNER BRACKET
A4	FF64	true	true	true	true	true	true	#HALFWIDTH IDEOGRAPHIC COMMA
A5	FF65	true	true	true	true	true	true	#HALFWIDTH KATAKANA MIDDLE DOT
A6	FF66	true	true	true	true	true	true	#HALFWIDTH KATAKANA LETTER WO
A7	FF67	true	true	true	true	true	true	#HALFWIDTH KATAKANA LETTER SMALL A
A8	FF68	true	true	true	true	true	true	#HALFWIDTH KATAKANA LETTER SMALL I
A9	FF69	true	true	true	true	true	true	#HALFWIDTH KATAKANA LETTER SMALL U
